product_id,customer_id,store_id,month_of_year,store_sales
1,157,24,12,8.55
1,456,15,6,11.4
1,638,11,9,8.55
1,916,7,4,11.4
1,923,15,7,8.55
1,1312,3,5,8.55
1,1565,24,9,8.55
1,2270,11,11,8.55
1,3065,3,11,5.7
1,3441,3,8,8.55
1,3528,17,10,8.55
1,4461,11,4,8.55
1,4707,11,12,8.55
1,4728,7,1,11.4
1,5313,24,3,8.55
1,5607,6,6,11.4
1,5929,15,8,14.25
1,6248,24,8,11.4
1,6666,17,2,8.55
1,7704,3,7,5.7
1,8202,3,12,8.55
1,9169,23,5,11.4
1,9358,15,7,8.55
1,9652,14,9,5.7
1,9788,13,1,8.55
1,10140,17,9,8.55
2,430,16,5,2.96
2,647,3,12,2.22
2,650,11,10,2.96
2,663,16,4,2.22
2,878,3,1,2.22
2,878,3,6,1.48
2,1209,24,10,2.96
2,1399,24,5,3.7
2,1415,16,12,2.96
2,1485,15,9,2.22
2,1696,22,3,1.48
2,1773,13,1,1.48
2,2211,17,3,3.7
2,2278,7,11,1.48
2,2769,16,8,2.22
2,3000,17,4,2.22
2,3000,17,1,2.22
2,3211,2,1,0.74
2,3458,24,1,2.22
2,3596,11,10,2.22
2,3759,13,7,2.22
2,4185,24,11,2.22
2,4508,13,2,2.22
2,4575,15,2,3.7
2,4926,6,10,1.48
2,4990,7,6,2.96
2,5009,7,1,2.96
2,5104,24,8,2.22
2,5161,6,10,2.96
2,5259,7,10,2.96
2,5374,16,8,2.22
2,5398,17,6,2.96
2,5635,6,4,2.22
2,5763,24,9,2.96
2,5887,7,9,2.96
2,6105,23,12,1.48
2,6712,16,9,2.22
2,6836,7,7,2.96
2,6956,13,2,1.48
2,6974,2,11,0.74
2,6978,24,8,2.22
2,7035,7,6,1.48
2,7149,13,2,1.48
2,7780,13,7,2.22
2,7897,15,10,1.48
2,8306,24,4,2.22
2,8324,24,10,1.48
2,8526,11,4,1.48
2,8571,3,11,2.96
2,8768,11,8,2.22
2,9263,16,7,2.22
2,9357,7,2,2.22
2,9591,7,10,1.48
2,9668,13,12,2.22
2,9788,13,6,2.22
2,10020,11,10,2.96
3,161,24,2,1.66
3,417,6,12,3.32
3,694,11,11,4.15
3,720,24,1,3.32
3,768,15,10,2.49
3,964,7,12,2.49
3,1170,24,10,4.15
3,1298,17,10,3.32
3,1339,13,11,2.49
3,1361,24,7,3.32
3,1387,11,3,2.49
3,1675,15,6,1.66
3,2233,14,7,1.66
3,3021,16,10,2.49
3,3258,6,4,2.49
3,3321,24,3,3.32
3,3541,15,3,2.49
3,3633,15,4,3.32
3,3692,16,12,2.49
3,3693,3,11,3.32
3,3952,7,8,1.66
3,4315,17,12,2.49
3,4518,13,3,3.32
3,4727,16,1,3.32
3,4845,24,12,3.32
3,5255,24,10,2.49
3,5419,17,5,2.49
3,6061,17,4,3.32
3,6163,13,1,1.66
3,6388,11,3,3.32
3,6897,6,6,3.32
3,7179,11,1,2.49
3,7241,17,3,1.66
3,7896,23,6,2.49
3,8207,13,7,2.49
3,8288,7,8,1.66
3,8312,6,9,4.15
3,8454,17,5,3.32
3,8659,13,3,2.49
3,8687,23,1,1.66
3,8892,13,10,2.49
3,9006,17,1,1.66
3,9721,15,6,3.32
3,9812,13,8,2.49
3,9863,13,12,2.49
3,9991,6,10,2.49
3,10043,22,12,0.83
4,512,24,2,10.92
4,673,11,9,10.92
4,863,17,10,10.92
4,997,3,6,10.92
4,1153,13,5,14.56
4,1266,13,6,14.56
4,1271,13,7,7.28
